id,latitude,longitude,price_gbp,bedrooms,property_type,city,postcode,epc_rating,date_listed
b10b292c-3bb2-4024-b898-61b10aa296a7,51.490299,-2.603892,626133,3,flat,Bristol,BS28 0AC,C,2024-11-19
893ac722-f27b-4e61-9367-d5db6db803f7,51.438228,-2.58009,460129,1,detached,Bristol,BS19 1HD,D,2025-03-05
f6a75c1f-1f63-405c-bd43-df65e2faf551,53.514598,-1.471731,213362,1,flat,Sheffield,S21 0HB,F,2025-05-17
970ace84-88da-4b3a-adc0-01f3a93536c6,51.538277,-0.161279,455203,2,flat,London,CR24 3ES,D,2024-10-16
924a131d-1df3-41ac-aa5c-47d44787b536,55.925546,-3.27544,641627,3,terraced,Edinburgh,EH35 4XL,C,2024-12-20
23cc8cf6-4ff1-4c1c-8d7e-d5cc89a8014d,51.473948,-0.448069,509295,1,flat,London,E21 7AD,F,2025-05-02
a5a58a1f-7507-48a8-9238-58e4b4440c5f,53.519249,-2.995932,295510,4,bungalow,Liverpool,L35 3ZK,D,2025-07-03
3838bbba-3299-41bf-ad87-c42c39331192,51.571745,0.30003,513551,2,flat,London,N22 1SH,C,2025-01-03
c76e61b7-be47-48fb-a494-2678363fdb9c,52.590918,-2.015036,474266,2,detached,Birmingham,B26 5DH,C,2025-04-13
0785a7b1-61ae-4cac-a1fa-ffad425ced0a,50.912956,-1.193236,384831,2,maisonette,Southampton,SO14 0UT,B,2024-12-05
2b5ee8bb-7735-4862-984e-a044974a16e2,51.760156,-0.533617,2011009,3,detached,London,N6 6YU,E,2025-04-20
58987663-bdb0-4627-b2d0-9af68d535aab,51.315994,0.009299,763334,1,semi-detached,London,DA17 2MC,F,2025-01-21
07681143-898b-474a-af7b-0e6aebd6d1f8,54.481445,-5.90713,261072,2,flat,Belfast,BT7 8EJ,D,2024-12-18
99282fb7-8ee9-42fc-ba9d-5f1c51108c83,51.384873,-0.060566,522328,2,flat,London,SM28 8AD,B,2025-02-25
f9f90415-694b-4238-9d99-db8c29222509,51.716156,-0.365376,805693,3,flat,London,BR10 3FF,F,2025-04-19
4e6f86f6-a947-4ec6-9cf4-b0fd4ce33757,51.493508,-0.029041,947878,2,bungalow,London,EC2 3NL,C,2025-03-17
584aae55-8fda-491f-a656-9b750d1a251c,51.314446,0.011869,802113,2,terraced,London,DA8 6UG,C,2025-02-28
cf7053d5-fbf9-4ad2-a20a-82211fe97c45,50.834073,-0.243793,683686,2,semi-detached,Brighton,BN19 8EG,D,2024-10-22
2f433355-182c-4911-85f4-3991b7d1cee0,52.603287,-1.703317,208633,1,terraced,Birmingham,B33 7FY,B,2025-07-17
851c566a-99a7-4f2c-b305-8fac124c61b8,51.679292,0.060769,766072,2,maisonette,London,WC25 7NH,C,2024-09-11
28e2f768-6d5f-4a8a-8df4-d054d57f3c94,53.45786,-3.186585,310400,2,maisonette,Liverpool,L29 2RP,C,2024-12-10
75ae339c-7b5a-48cd-a46a-f98b56e5f86b,51.515611,-0.316429,1356253,6,flat,London,EC25 2ZG,B,2025-02-02
90fa9a16-9b78-4c6f-a4d9-ca450e6ef2bf,52.540793,-1.736701,195845,1,flat,Birmingham,B35 8WH,D,2025-03-14
a18ffba6-a96c-4136-975a-303af7701f46,51.88977,0.171085,403272,1,flat,London,SW30 2BJ,D,2025-03-14
5262942a-27ac-4abe-abed-c29255481bb5,56.056365,-4.565195,346685,2,semi-detached,Glasgow,G32 1OM,E,2024-12-09
488ddfa4-b995-475d-8308-4d412ae3ff84,55.979031,-3.277499,474324,3,flat,Edinburgh,EH16 7UW,E,2024-12-27
13b4b32d-93bd-407f-911e-6fada1509513,54.976794,-1.603065,339099,4,flat,Newcastle upon Tyne,NE32 8HZ,D,2025-05-12
247b4d07-0f23-4fd3-86d1-082d9e579d79,51.288627,0.207457,836933,3,flat,London,N19 2XR,C,2025-01-05
74d85ade-b17c-4c40-a340-22d61e92f18b,54.586701,-6.032799,244299,2,flat,Belfast,BT20 1HD,D,2025-01-19
f5f3bc6c-aa9b-4590-8dc0-4f4121a94280,51.549211,-0.547001,434952,1,maisonette,London,HA6 2HF,D,2025-01-05
0d85da81-38dc-4985-b5a8-0c436c0817bc,55.884389,-4.249778,245500,2,terraced,Glasgow,G17 0CH,G,2024-09-23
d06a7566-8f1a-49e4-b452-61aa157fe1f7,51.845449,0.147335,505306,2,flat,London,E35 7OB,C,2025-05-21
